Arquivo,Nome,Dimensão,Tempo de Execução (s),Memória Atual (MB),Pico de Memória (MB),Timeout,Erro
tsp225.tsp,tsp225,225,0.028708219528198242,0.032605,0.051333,False,
fl3795.tsp,fl3795,3795,13.613188743591309,0.232412,0.807772,False,
fnl4461.tsp,fnl4461,4461,19.482340335845947,0.226372,0.550472,False,
a280.tsp,a280,280,0.04317617416381836,0.005102,0.025866,False,
kroB100.tsp,kroB100,100,0.006578207015991211,0.004397,0.019021,False,
d198.tsp,d198,198,0.022382736206054688,0.002169,0.020041,False,
u724.tsp,u724,724,0.39069151878356934,0.023195,0.092215,False,
pcb3038.tsp,pcb3038,3038,8.135949850082397,0.160748,0.439448,False,
rl5915.tsp,rl5915,5915,36.00246834754944,0.309876,1.193512,False,
rat99.tsp,rat99,99,0.006075859069824219,0.001205,0.015821,False,
pr107.tsp,pr107,107,0.008185386657714844,0.001262,0.016454,False,
pr226.tsp,pr226,226,0.028457164764404297,0.002197,0.020933,False,
fl1577.tsp,fl1577,1577,1.9592816829681396,0.14749,0.373734,False,
eil51.tsp,eil51,51,0.002129793167114258,0.002695,0.007679,False,
lin318.tsp,lin318,318,0.05933499336242676,0.004808,0.059252,False,
pr152.tsp,pr152,152,0.013334035873413086,0.002626,0.018882,False,
rd400.tsp,rd400,400,0.10166311264038086,0.009475,0.066751,False,
d1291.tsp,d1291,1291,1.3167650699615479,0.04512,0.264692,False,
u574.tsp,u574,574,0.2327272891998291,0.017712,0.081436,False,
pr264.tsp,pr264,264,0.03805828094482422,0.002624,0.02358,False,
u2152.tsp,u2152,2152,3.8553731441497803,0.110394,0.35807,False,
rl1889.tsp,rl1889,1889,3.2719812393188477,0.122212,0.361512,False,
vm1084.tsp,vm1084,1084,0.9983630180358887,0.036664,0.116852,False,
pr136.tsp,pr136,136,0.011020898818969727,0.00181,0.01813,False,
pcb442.tsp,pcb442,442,0.12893080711364746,0.009397,0.068801,False,
kroA150.tsp,kroA150,150,0.013154029846191406,0.00166,0.0179,False,
pr439.tsp,pr439,439,0.1258096694946289,0.013338,0.072718,False,
rat575.tsp,rat575,575,0.2250654697418213,0.015325,0.079057,False,
pr124.tsp,pr124,124,0.009582757949829102,0.001308,0.017052,False,
nrw1379.tsp,nrw1379,1379,1.5777053833007812,0.047299,0.267575,False,
pr1002.tsp,pr1002,1002,0.7696371078491211,0.034539,0.109975,False,
lin105.tsp,lin105,105,0.006848812103271484,0.001034,0.01621,False,
rat783.tsp,rat783,783,0.481626033782959,0.025922,0.094614,False,
pcb1173.tsp,pcb1173,1173,1.0881946086883545,0.040308,0.124664,False,
vm1748.tsp,vm1748,1748,2.837099075317383,0.154024,0.483772,False,
rd100.tsp,rd100,100,0.0061986446380615234,0.001205,0.015829,False,
kroA100.tsp,kroA100,100,0.006216526031494141,0.001718,0.016342,False,
fl417.tsp,fl417,417,0.11307263374328613,0.008298,0.06571,False,
gil262.tsp,gil262,262,0.03753161430358887,0.003024,0.023964,False,
p654.tsp,p654,654,0.30536890029907227,0.0212,0.087484,False,
fl1400.tsp,fl1400,1400,1.5667593479156494,0.050728,0.271172,False,
berlin52.tsp,berlin52,52,0.0022940635681152344,0.001252,0.006148,False,
kroE100.tsp,kroE100,100,0.010513067245483398,0.001148,0.015772,False,
pr299.tsp,pr299,299,0.05616188049316406,0.00566,0.027856,False,
st70.tsp,st70,70,0.003561258316040039,0.000778,0.006362,False,
u159.tsp,u159,159,0.015460014343261719,0.00166,0.018676,False,
rl5934.tsp,rl5934,5934,36.93693232536316,0.310239,1.194027,False,
kroD100.tsp,kroD100,100,0.006298065185546875,0.001775,0.016399,False,
eil101.tsp,eil101,101,0.008645057678222656,0.003542,0.01843,False,
eil76.tsp,eil76,76,0.004017829895019531,0.002559,0.008447,False,
rl1323.tsp,rl1323,1323,1.5295603275299072,0.10054,0.320368,False,
pr144.tsp,pr144,144,0.012210607528686523,0.001582,0.017966,False,
kroB150.tsp,kroB150,150,0.013885498046875,0.001603,0.017843,False,
d657.tsp,d657,657,0.3197357654571533,0.018151,0.084459,False,
linhp318.tsp,lin318,318,0.05982398986816406,0.004808,0.059252,False,
kroB200.tsp,kroB200,200,0.02240586280822754,0.002254,0.019886,False,
u1817.tsp,u1817,1817,2.6670420169830322,0.087252,0.318552,False,
pr76.tsp,pr76,76,0.004573345184326172,0.001362,0.00725,False,
u1432.tsp,u1432,1432,1.6048674583435059,0.050223,0.269483,False,
d1655.tsp,d1655,1655,2.256549835205078,0.061347,0.293175,False,
ch150.tsp,ch150,150,0.013442516326904297,0.001888,0.018128,False,
ch130.tsp,ch130,130,0.010692358016967773,0.001354,0.016986,False,
d493.tsp,d493,493,0.1681830883026123,0.012282,0.07363,False,
u1060.tsp,u1060,1060,0.9010789394378662,0.036977,0.116973,False,
rat195.tsp,rat195,195,0.021605253219604492,0.001884,0.019732,False,
pr2392.tsp,pr2392,2392,4.894708633422852,0.149814,0.40645,False,
kroA200.tsp,kroA200,200,0.02439403533935547,0.002197,0.019829,False,
bier127.tsp,bier127,127,0.010228872299194336,0.001365,0.017133,False,
u2319.tsp,u2319,2319,4.449451208114624,0.083038,0.329746,False,
kroC100.tsp,kroC100,100,0.0066318511962890625,0.001319,0.015943,False,
d2103.tsp,d2103,2103,3.6210567951202393,0.167836,0.595084,False,
ts225.tsp,ts225,225,0.028675317764282227,0.002197,0.020925,False,
